step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
0	667	173	443	224	0.5187406539916992	443,150,47,19,1,1,6,	7.0	0.07471264367816088	530	1.2584906	13	101	1.2584906	544	1.226103	7	145	1	353	0.59955376	0.9594039226168622	0.8749707641418039	1	0.8749707641418039,
1	673	187	440	233	0.5557206273078918	440,152,45,25,4,1,6,	8.0	0.07781079742446757	527	1.2770399	15	104	1.2770399	536	1.255597	9	145	1	560	0.7024433	0.9555320426663625	0.9008836397952481	1	0.9008836397952481,
2	676	195	435	241	0.5769230723381042	435,155,49,25,4,2,6,	8.0	0.08496055226824459	525	1.287619	15	105	1.287619	533	1.2682927	9	145	1	1045	0.72888076	0.957896120973043	0.9150295857988158	1	0.9150295857988158,
3	680	202	431	249	0.5941176414489746	431,164,49,17,10,3,6,	7.0	0.07857843137254905	524	1.29771	16	106	1.29771	533	1.2757974	10	145	1	1804	0.7712622	0.9511322419370656	0.8939074600529365	1	0.8939074600529365,
4	681	208	438	243	0.610866367816925	438,150,52,22,7,6,4,2,	7.0	0.09490944689182573	528	1.2897727	17	29	1.2897727	533	1.2776736	10	145	1	2242	0.80518097	0.9470691568047326	0.9226146449704135	1	0.9226146449704135,
5	691	215	436	255	0.6222865581512451	436,160,51,24,9,6,5,	8.0	0.09131693198263384	530	1.3037736	17	29	1.3037736	536	1.2891791	10	145	1	2715	0.8295672	0.9538128718226059	0.9232017306652238	1	0.9232017306652238,
6	695	220	441	254	0.633093535900116	441,154,52,29,5,9,5,	8.0	0.10182254196642687	534	1.3014982	17	29	1.3014982	538	1.2918216	10	145	1	3011	0.84472734	0.9556611570247914	0.9281198347107422	1	0.9281198347107422,
7	698	239	434	264	0.6848137378692627	434,151,52,37,12,9,2,1,	11.0	0.11356938190749079	527	1.3244781	25	29	1.3244781	534	1.3071162	10	145	1	3257	0.87666535	0.9340872883878055	0.9123527249172797	1	0.9123527249172797,
8	704	244	433	271	0.6931818127632141	433,154,59,32,13,10,3,	11.0	0.1184185606060606	529	1.3308128	25	29	1.3308128	534	1.3183521	11	145	1	3676	0.916679	0.9356691749529669	0.9213249126578866	1	0.9213249126578866,
9	707	246	436	271	0.695898175239563	436,152,62,30,13,10,4,	11.0	0.12027345591702027	531	1.3314501	25	29	1.3314501	535	1.3214953	12	145	1	4515	0.9527241	0.9364135104765667	0.9206738713728595	1	0.9206738713728595,
